time,amplitude
0.651965,0.2
0.65197,0.2
0.651975,0.2
0.65198,0.28
0.651985,0.2
0.65199,0.28
0.651995,0.2
0.652,0.2
0.652005,0.2
0.65201,0.2
0.652015,3.8
0.65202,3.88
0.652025,3.88
0.65203,3.88
0.652035,3.8
0.65204,3.88
0.652045,0.28
0.65205,0.28
0.652055,0.2
0.65206,0.2
0.652065,0.28
0.65207,0.2
0.652075,3.88
0.65208,3.8
0.652085,3.8
0.65209,3.72
0.652095,3.88
0.6521,3.8
0.652105,3.8
0.65211,3.88
0.652115,3.8
0.65212,3.8
0.652125,3.88
0.65213,3.96
0.652135,3.88
0.65214,0.28
0.652145,0.2
0.65215,0.28
0.652155,0.2
0.65216,0.2
0.652165,0.12
0.65217,3.88
0.652175,3.88
0.65218,3.88
0.652185,3.88
0.65219,3.88
0.652195,3.88
0.6522,0.2
0.652205,0.2
0.65221,0.28
0.652215,0.2
0.65222,0.28
0.652225,0.2
0.65223,0.2
0.652235,3.96
0.65224,3.96
0.652245,3.96
0.65225,3.96
0.652255,3.96
0.65226,3.88
0.652265,0.2
0.65227,0.2
0.652275,0.2
0.65228,0.2
0.652285,0.2
0.65229,0.2
0.652295,0.28
0.6523,0.2
0.652305,0.12
0.65231,0.2
0.652315,0.2
0.65232,0.2
0.652325,3.8
0.65233,3.88
0.652335,3.88
0.65234,3.88
0.652345,3.96
0.65235,3.88
0.652355,3.96
0.65236,3.88
0.652365,3.88
0.65237,3.88
0.652375,3.88
0.65238,3.88
0.652385,3.96
0.65239,0.2
0.652395,0.28
0.6524,0.2
0.652405,0.2
0.65241,0.2
0.652415,0.2
0.65242,3.96
0.652425,3.96
0.65243,3.88
0.652435,3.88
0.65244,3.88
0.652445,3.88
0.65245,0.28
0.652455,0.2
0.65246,0.28
0.652465,0.2
0.65247,0.28
0.652475,0.2
0.65248,0.2
0.652485,0.2
0.65249,0.2
0.652495,0.2
0.6525,0.2
0.652505,0.28
0.65251,0.12
0.652515,3.88
0.65252,3.8
0.652525,3.8
0.65253,3.8
0.652535,3.88
0.65254,3.8
0.652545,0.2
0.65255,0.2
0.652555,0.28
0.65256,0.2
0.652565,0.2
0.65257,0.2
0.652575,3.8
0.65258,3.8
0.652585,3.88
0.65259,3.88
0.652595,3.8
0.6526,3.96
0.652605,3.88
0.65261,3.88
0.652615,3.96
0.65262,3.96
0.652625,3.88
0.65263,3.88
0.652635,3.88
0.65264,0.2
0.652645,0.2
0.65265,0.2
0.652655,0.28
0.65266,0.2
0.652665,0.28
0.65267,3.88
0.652675,3.96
0.65268,3.88
0.652685,3.96
0.65269,3.96
0.652695,3.88
0.6527,0.12
0.652705,0.2
0.65271,0.2
0.652715,0.28
0.65272,0.2
0.652725,0.2
0.65273,0.2
0.652735,0.28
0.65274,0.2
0.652745,0.2
0.65275,0.2
0.652755,0.12
0.65276,0.2
0.652765,3.88
0.65277,3.88
0.652775,3.88
0.65278,3.88
0.652785,3.8
0.65279,3.88
0.652795,0.12
0.6528,0.2
0.652805,0.2
0.65281,0.2
0.652815,0.28
0.65282,0.2
0.652825,3.88
0.65283,3.8
0.652835,3.88
0.65284,3.88
0.652845,3.88
0.65285,3.8
0.652855,3.88
0.65286,3.88
0.652865,3.88
0.65287,3.88
0.652875,3.88
0.65288,3.88
0.652885,3.88
0.65289,0.2
0.652895,0.2
0.6529,0.2
0.652905,0.2
0.65291,0.28
